key,리콜,품질표시,법적평판,5년이내,비고,조사일
stonewall kitchen,탈락,통과,통과,O,다수 리콜 — 고스트페퍼살사 오라벨(케소/알레르겐)·팬케이크믹스·피넛버터몰트볼 알레르겐·둘세데레체 보툴리누스·2024 글루텐프리 도넛믹스 밀 · 노출된 피그잼 자체 리콜은 아님,2026-07-23
st dalfour,통과,통과,통과,-,St Dalfour 프루트스프레드 자체 리콜·소송 검색결과 없음,2026-07-23
aloha right now,통과,통과,통과,-,Aloha Right Now 아라레 라이스크래커 자체 리콜·소송 검색결과 없음,2026-07-23
balconi,통과,통과,통과,-,Balconi 미니티라미수 스낵케이크 자체 리콜·소송 검색결과 없음,2026-07-23
iberia,통과,통과,통과,-,Iberia 브레바스(무화과) 프리저브 자체 리콜·소송 검색결과 없음,2026-07-23
dalmatia,통과,통과,통과,-,Dalmatia 자체 리콜·소비자 소송 없음 · FoodMatch/Divina 레시피 영업비밀 소송은 Dalmatia가 원고·승소(B2B),2026-07-23
waka,통과,통과,통과,-,Waka Coffee 자체 리콜·소송 없음(Clover Valley 인스턴트커피 유리 리콜은 타 브랜드),2026-07-23
club snack,통과,통과,통과,-,Club 브랜드(Kellanova) 자체 리콜·소송 없음 (club crackers 행과 동일 브랜드·스낵스택 표기 매칭용),2026-07-23
david high,통과,탈락,통과,O,2026 칼로리/지방 함량 표기 오류 집단소송(실측 칼로리 최대 83%·지방 400% 초과 주장·David는 부인)→2026.4 취하 · 리콜 없음,2026-07-23
albanese,탈락,통과,통과,O,2022 다크초콜릿 에스프레소빈 땅콩 오포장 리콜·피넛버터컵 살모넬라 리콜 · 노출된 구미베어 자체 리콜은 아님 · Albanese,2026-07-23
bauducco,통과,통과,통과,-,2017-18 웨이퍼 아크릴아마이드 Prop65 소송 합의($5만·시정·베이크드류 공통 이슈) · 리콜 이력은 없음,2026-07-23
inglehoffer,통과,통과,통과,-,Inglehoffer 스톤그라운드 머스타드 '방부제 무첨가' 대비 구연산 함유 집단소송(Beaverton Foods·각하신청·FDA는 구연산≠방부제 입장) · 리콜 없음,2026-07-23
kenco,통과,통과,통과,-,Kenco Millicano 자체 리콜·소송 없음(2024 제조법 변경 소비자 불만만 있음·영국),2026-07-23
sun tropics,통과,통과,통과,-,노출된 CocoRolls 리콜 없음 · Island Saba 바나나칩 아크릴아마이드 Prop65 합의($2.5만·2021·베이크드류 공통) · 자체 리콜 없음,2026-07-23
sushi chef,통과,통과,통과,-,Sushi Chef 와사비(파우더 홀스래디시) 자체 리콜·소송 없음(Blue Diamond·7-Eleven 와사비 표시 소송은 타 브랜드),2026-07-23
gourmanity,통과,통과,통과,-,Gourmanity 피그잼 자체 리콜·소송 없음 · 스위튼드 코코넛밀크 Prop65 통지(2026·소송 전 단계·타 제품),2026-07-23
annie,통과,통과,탈락,O,2021 Annie's 맥앤치즈(23종·유기농 포함) 프탈레이트 미표시 집단소송(General Mills·'organic/건강' 표방) · 2024 Consumer Reports 유기농 라비올리 프탈레이트 최고치 · 리콜 없음,2026-07-23
entenmann,탈락,통과,통과,X,2016·2019 Little Bites(머핀/쿠키) 플라스틱 조각 리콜(Bimbo·36개주·질식위험) · 5년 이전,2026-07-23
otis spunkmeyer,통과,통과,통과,-,Otis Spunkmeyer 자체 확정 리콜·소송 명확치 않음 · 2025 인공색소 전면 제거 · 머핀 리스테리아 리콜 언급 있으나 브랜드 귀속 확인 안 됨(참고),2026-07-23
crunchmaster,통과,통과,통과,-,Crunchmaster 자체 리콜·소송 없음(Ritz·Goldfish 리콜은 타 브랜드),2026-07-23
sakai,통과,통과,통과,-,Sakai 프레시 와사비 페이스트 자체 리콜·소송 없음(Azuma Tako Wasabi·Blue Diamond 등은 타 브랜드),2026-07-23
vicenzovo,통과,통과,통과,-,Matilde Vicenzi 레이디핑거(사보이아르디) 자체 리콜·소송 없음,2026-07-23
gullon,통과,통과,통과,-,Gullón 슈가프리 비스킷 자체 리콜·소송 없음,2026-07-23
mcvities,통과,통과,통과,-,McVitie's 자체 리콜·소송 없음 · 아크릴아마이드 Prop65 통지 2건 모두 철회(2021)·영국 바코드 오류 회수(안전이슈 아님) (mcvitie's 행과 동일·무아포스트로피 매칭용),2026-07-23
club original,통과,통과,통과,-,Club 브랜드(Kellanova) 자체 리콜·소송 없음 (club crackers 행과 동일 브랜드·변형 표기 매칭용),2026-07-23
club minis,통과,통과,통과,-,Club 브랜드(Kellanova) 자체 리콜·소송 없음 (club crackers 행과 동일 브랜드·변형 표기 매칭용),2026-07-23
club multigrain,통과,통과,통과,-,Club 브랜드(Kellanova) 자체 리콜·소송 없음 (club crackers 행과 동일 브랜드·변형 표기 매칭용),2026-07-23
town house,통과,통과,통과,-,Town House(Kellanova) 크래커 자체 리콜·소송 검색결과 없음,2026-07-23
pirouline,통과,통과,통과,-,Pirouline(DeBeukelaer Cookie) 웨이퍼 자체 리콜·소송 검색결과 없음,2026-07-23
necco,통과,통과,통과,-,Necco 제품 리콜 없음 · 2018 FDA 위생 경고서한(리콜/벌금 없음)·공장폐쇄 소송은 근로자 임금/파산 건으로 소비자 제품 무관,2026-07-23
ottogi,탈락,탈락,통과,O,Ottogi America 계란 미표시 알레르겐 리콜(FDA) · 한국 MFDS '와사비' 표시위반 행정처분(실제 고추냉이 20-75%·2020-21),2026-07-23
choczero,통과,통과,통과,-,ChocZero 초콜릿헤이즐넛 스프레드 자체 리콜·소송 없음(Chuao·Jumbo 스프레드 리콜은 타 브랜드),2026-07-23
grandma's jam,통과,통과,통과,-,Grandma's Jam House 자체 리콜·소송 없음,2026-07-23
pirucream,통과,통과,통과,-,Pirucream 롤드웨이퍼 자체 리콜·소송 없음,2026-07-23
s&b neri,통과,통과,통과,-,S&B 와사비(고추냉이+와사비 혼합·성분공개) 자체 리콜·소송 없음(Ottogi·Blue Diamond 표시건은 타 브랜드),2026-07-23
s&b premium,통과,통과,통과,-,S&B 와사비(고추냉이+와사비 혼합·성분공개) 자체 리콜·소송 없음,2026-07-23
"s&b, wasabi",통과,통과,통과,-,S&B 와사비(고추냉이+와사비 혼합·성분공개) 자체 리콜·소송 없음,2026-07-23
hime,통과,통과,통과,-,Hime(JFC) 파우더 수시 와사비 자체 리콜·소송 검색결과 없음,2026-07-23
shizuoka,통과,통과,통과,-,Shizuoka Hon Wasabi(Tamaruya·100% 혼와사비) 자체 리콜·소송 없음,2026-07-23
sb golden,탈락,통과,통과,X,S&B Golden Curry(2020 영국 셀러리·머스터드 미표시 리콜·JFC UK) · 미국 정식 리콜은 미확인 (s&b golden curry 행과 동일·무앰퍼샌드 매칭용),2026-07-23
fruity pebbles,통과,탈락,탈락,O,'패밀리사이즈' Fruity Pebbles 서빙수 부족(15→약12.2)·칼로리/당/나트륨 과소표기 집단소송(2025)·박스 슬랙필 집단소송(각하기각) · 리콜 없음 · Post,2026-07-23
cap'n crunch,탈락,통과,통과,O,2024 Quaker 살모넬라 리콜에 Cap'n Crunch 다수 포함(OOPS올베리·시나몬크런치 등)·2018 PB크런치 살모넬라 리콜·1993 판촉완구 안전리콜 · Quaker,2026-07-23
mike and ike,통과,통과,탈락,O,과대포장(슬랙필·반쯤 빈 박스) 집단소송 $330만 합의(Just Born·Mike and Ike+Hot Tamales·2013-2020) · 리콜 없음,2026-07-23
zachary,통과,통과,통과,-,Zachary Confections 캔디(오렌지슬라이스/스파이스드롭 등) 자체 리콜·소송 검색결과 없음,2026-07-23
apple jacks,탈락,통과,통과,X,2010 이취/냄새(박스 라이너 메틸나프탈렌) 2800만박스 리콜(Apple Jacks 포함·구토/설사 신고)·Kellogg 인공색소 이슈는 Froot Loops 참조 · 5년 이전,2026-07-23
polaner,통과,탈락,통과,O,'All Fruit/과일주스만으로 감미' 표기 대비 구연산·천연향료 함유 집단소송(2022·B&G Foods·각하신청) · 리콜 없음,2026-07-23
shameless snacks,통과,통과,통과,-,Shameless Snacks 제품 리콜·소송 없음(구독 자동갱신 관련 소비자 불만만 있음),2026-07-23
amos,통과,통과,통과,-,Amos Peelerz(Amos Sweets) 필러블 구미 자체 리콜·소송 검색결과 없음,2026-07-23
kashi,통과,탈락,탈락,X,'올내추럴/인공무첨가' 표기 대비 헥산처리 대두·GMO·합성비타민 함유 집단소송 합의($500만+$399만·2014-15·Kellogg) · 리콜 없음 · 다소 오래됨,2026-07-23
malt-o-meal,탈락,통과,탈락,X,1998·2008 살모넬라 리콜(퍼프드라이스/토스트오트·집단소송 $200만 합의 등) · 모두 5년 이전,2026-07-23
peter pan,탈락,통과,탈락,X,2007 살모넬라 대규모 리콜(625명 발병/47개주·3년치 생산분 회수)·ConAgra $1120만 벌금·유죄인정 · 5년 이전,2026-07-23
simplot,통과,통과,탈락,O,냉동감자 가격담합(반독점) 집단소송 피고(Simplot·Lamb Weston 등 4사·시장 97%·2022-24 가격 47%↑) · Sidewinder 특허소송은 Simplot이 원고 · 리콜 없음,2026-07-23
cascadian farm,탈락,통과,통과,X,2017 오가닉 시나몬레이즌 그래놀라 아몬드 미표시 리콜(General Mills) · 글리포세이트 검사는 업계 일반이슈(Honey Nut O's는 미검출) · 5년 이전,2026-07-23
fischer & wieser,탈락,통과,통과,O,2022 Fischer & Wieser 제조 H-E-B 크리미토마토바질수프 유리조각 리콜 · 노출된 트리플베리잼과는 다른 품목,2026-07-23
sweet sensations,통과,통과,통과,-,Sweet Sensations 스위트포테이토프라이(Wayne Bailey) 자체 리콜·소송 없음(Walkers Sensations·Sprout 리콜은 타 브랜드),2026-07-23
philadelphia,통과,통과,통과,-,Philadelphia(Kraft) 크림치즈 자체 리콜·소송 없음 · 2024 Schreiber Foods 살모넬라 크림치즈 리콜은 PB/타 브랜드(Aldi·Kroger 등)로 Philadelphia 아님,2026-07-23
rold gold,탈락,통과,통과,X,2016 Rold Gold 프레첼 땅콩 잔류물 미표시 리콜(Frito-Lay·Grain Craft 밀가루) · 5년 이전,2026-07-23
dot's,통과,통과,통과,-,Dot's Pretzels(Hershey) 자체 확정 리콜·소송 없음 · 2023 Velva 공장폐쇄 · 프레첼 알레르겐 리콜 언급은 브랜드 귀속 불명확(참고),2026-07-23
archway,탈락,통과,통과,X,홀리데이 캐슈너겟 쿠키 유리조각 리콜(1998 등)·2003 라즈베리필드 아몬드가루 미표시 리콜 · 파산 관련 소송(WARN/사기)은 B2B·오래됨 · 5년 이전,2026-07-23
cote d'or,통과,통과,탈락,O,Mondelez 'Cocoa Life/지속가능 소싱' 표기 대비 아동노동·삼림파괴 허위마케팅 집단소송(2024) · 다크초콜릿 카드뮴/납 소송은 Green&Black's 등 타 브랜드 · 리콜 없음,2026-07-23
juan valdez,통과,통과,통과,-,Juan Valdez 커피 제품 리콜·소비자 소송 없음 · 2006 슬로건 상표 분쟁(Fedecafé v Café Britt·B2B),2026-07-23
samlip,통과,통과,통과,-,Samlip 누가 웨이퍼 자체 리콜·소송 검색결과 없음,2026-07-23
yuki & love,통과,통과,통과,-,Yuki & Love 보바누가 비스킷 자체 리콜·소송 검색결과 없음,2026-07-23
